row;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
0;"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']"
1;"['0,0' '0,0' '0,0' '0,0']";"['0,0' '-3,7' '0,0' '3,7']";"['0,0' '0,0' '0,0' '-0,19']";"['0,0' '0,0' '-3,65' '-0,09']";"['0,0' '0,0' '-3,6' '0,01']";"['0,0' '0,0' '-3,55' '0,1']";"['0,0' '0,0' '-3,49' '0,2']";"['0,0' '0,0' '-3,44' '4,0']";"['0,0' '0,0' '0,0' '0,4']";"['0,0' '0,0' '-3,34' '0,66']";"['0,0' '0,0' '-3,29' '0,59']";"['0,0' '0,0' '-3,23' '0,69']";"['0,0' '0,0' '-3,18' '4,25']";"['0,0' '0,0' '0,0' '0,88']";"['0,0' '0,0' '-3,08' '-2,04']";"['0,0' '0,0' '-6,04' '1,08']";"['0,0' '0,0' '-2,97' '4,45']";"['0,0' '1,18' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']"
2;"['0,0' '0,0' '0,0' '0,0']";"['-0,38' '-3,85' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['-2,87' '1,16' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['5,0' '-2,4' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']"
3;"['0,0' '0,0' '0,0' '0,0']";"['-0,38' '-3,86' '0,0' '-4,08']";"['0,0' '0,0' '-7,38' '3,75']";"['0,0' '0,0' '0,0' '-0,09']";"['0,0' '0,0' '-3,6' '3,85']";"['0,0' '0,0' '0,0' '0,1']";"['0,0' '0,0' '-3,5' '-3,2']";"['0,0' '0,0' '-6,87' '0,3']";"['0,0' '0,0' '-3,39' '4,04']";"['0,0' '0,38' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['-2,87' '1,14' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['2,15' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']"
4;"['0,0' '0,0' '0,0' '0,0']";"['-4,08' '-3,86' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['-3,29' '0,36' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['-2,88' '1,1' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['4,9' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']"
5;"['0,0' '0,0' '0,0' '0,0']";"['-4,1' '-3,87' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['-3,3' '0,34' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['-2,89' '-3,1' '0,0' '1,25']";"['0,0' '0,0' '0,0' '-1,71']";"['0,0' '0,0' '-2,86' '-1,58']";"['0,0' '0,0' '-2,81' '-1,51']";"['0,0' '0,0' '-2,76' '-4,12']";"['0,0' '0,0' '-5,43' '-1,2']";"['0,0' '0,0' '-2,67' '-1,1']";"['0,0' '0,0' '-2,63' '-1,01']";"['0,0' '0,0' '-2,59' '-0,92']";"['0,0' '0,0' '-2,56' '-0,77']";"['0,0' '0,0' '-2,53' '1,86']";"['4,85' '-1,08' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']"
6;"['0,0' '0,0' '0,0' '0,0']";"['-4,11' '-3,88' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['-3,31' '-3,2' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['-5,67' '-2,95' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['-5,01' '1,66' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']"
7;"['0,0' '0,0' '0,0' '0,0']";"['-4,14' '-3,75' '0,0' '-3,83']";"['0,0' '0,0' '-7,44' '-7,24']";"['0,0' '0,0' '-4,17' '-7,15']";"['0,0' '0,0' '-4,03' '-7,19']";"['0,0' '0,0' '-3,89' '-7,1']";"['0,0' '-3,5' '-3,61' '-6,9']";"['0,0' '0,0' '-10,23' '-13,15']";"['0,0' '0,0' '-10,24' '-12,67']";"['-6,62' '0,0' '-3,34' '-6,33']";"['0,0' '0,0' '-6,65' '-2,77']";"['0,0' '0,0' '-3,28' '0,61']";"['0,0' '0,55' '0,0' '0,67']";"['0,0' '0,0' '-3,19' '0,77']";"['0,0' '0,0' '-3,14' '0,85']";"['0,0' '0,0' '-3,09' '0,94']";"['0,0' '0,0' '-3,04' '4,37']";"['1,08' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['-2,56' '1,57' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']"
8;"['0,0' '0,0' '0,0' '0,0']";"['-0,3' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['-3,46' '-3,52' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['-3,19' '0,51' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['-2,61' '4,6' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']"
9;"['0,0' '0,0' '0,0' '0,0']";"['3,61' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['-3,5' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['-3,21' '0,46' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '-1,65' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']"
10;"['0,0' '0,0' '0,0' '0,0']";"['3,59' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['-0,03' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['-3,23' '0,41' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['-5,43' '1,27' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']"
11;"['0,0' '0,0' '0,0' '0,0']";"['3,58' '-3,82' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,08' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['-3,26' '-3,31' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '-8,04' '0,0' '-6,06']";"['0,0' '0,0' '-8,06' '-3,08']";"['0,0' '0,0' '-4,92' '-3,06']";"['0,0' '0,0' '-4,8' '-2,98']";"['0,0' '0,0' '-4,54' '-3,02']";"['0,0' '-2,89' '-4,68' '-3,01']";"['0,0' '0,0' '-5,72' '-5,63']";"['0,0' '0,0' '-1,81' '0,0']";"['-2,77' '0,0' '4,5' '0,0']";"['0,0' '0,0' '0,0' '0,0']"
12;"['0,0' '0,0' '0,0' '0,0']";"['-0,56' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,04' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '-3,49']";"['0,0' '0,0' '-3,6' '-3,44']";"['0,0' '0,0' '-3,61' '-6,78']";"['0,0' '0,0' '-6,77' '-6,84']";"['0,0' '0,0' '-6,75' '-3,45']";"['0,0' '-6,55' '-3,09' '0,0']";"['0,0' '0,0' '-2,96' '0,0']";"['0,0' '0,0' '-2,85' '0,0']";"['0,0' '0,0' '-2,72' '0,0']";"['0,0' '0,0' '-2,6' '0,0']";"['0,0' '0,0' '-2,5' '0,0']";"['0,0' '0,0' '-2,39' '0,0']";"['0,0' '0,0' '-2,29' '0,0']";"['-5,96' '-2,42' '-2,18' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['-1,8' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']"
13;"['0,0' '0,0' '0,0' '0,0']";"['3,54' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['-6,62' '-9,72' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['-8,89' '-8,63' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['1,19' '-3,12' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']"
