row;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
14;"['0,0' '0,0' '0,0' '0,0']";"['3,52' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['-9,84' '-10,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['-14,41' '-14,43' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['-1,78' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']"
15;"['0,0' '0,0' '0,0' '0,0']";"['3,5' '-3,91' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['-10,06' '-13,25' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['-19,55' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['1,12' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']"
16;"['0,0' '0,0' '0,0' '0,0']";"['-0,71' '-3,93' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['-13,08' '-13,43' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['1,02' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']"
17;"['0,0' '0,0' '0,0' '0,0']";"['-0,62' '0,0' '0,0' '0,0']";"['0,0' '0,0' '3,43' '0,0']";"['0,0' '0,0' '3,47' '0,0']";"['0,0' '0,0' '3,52' '0,0']";"['0,0' '0,0' '3,56' '0,0']";"['0,0' '-0,46' '3,6' '0,0']";"['0,0' '0,0' '-0,4' '0,0']";"['0,0' '0,0' '-0,18' '0,0']";"['0,0' '0,0' '-0,1' '-3,7']";"['0,0' '0,0' '-3,76' '-7,15']";"['0,0' '0,0' '-7,17' '-10,36']";"['-13,2' '0,0' '-10,36' '-13,35']";"['0,0' '0,0' '-13,34' '-15,99']";"['0,0' '0,0' '-10,16' '-12,95']";"['0,0' '0,0' '-6,78' '-9,83']";"['0,0' '-3,38' '-3,3' '0,36']";"['0,0' '0,0' '-3,34' '0,41']";"['0,0' '0,0' '-3,31' '0,46']";"['0,0' '0,0' '-3,28' '4,11']";"['0,0' '0,0' '0,0' '0,55']";"['0,0' '0,0' '-3,23' '0,59']";"['0,0' '0,0' '-3,21' '0,61']";"['0,0' '0,0' '-3,19' '0,65']";"['0,0' '0,0' '-3,17' '-3,14']";"['0,93' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']"
18;"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['-3,72' '-4,42' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,3' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['4,19' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']"
19;"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['-7,45' '-0,58' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['3,96' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['4,14' '-6,58' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']"
20;"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['-3,78' '-0,65' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['3,92' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['-2,97' '-3,35' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']"
21;"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['-3,81' '-0,71' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['3,88' '-3,56' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,4' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']"
22;"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['-3,85' '-0,79' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['-0,03' '-3,6' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['3,99' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']"
23;"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['-3,88' '0,0' '0,0' '-0,71']";"['0,0' '0,0' '-3,92' '-0,65']";"['0,0' '0,0' '-3,88' '-0,44']";"['0,0' '-0,66' '-3,84' '-0,52']";"['0,0' '0,0' '-3,81' '-4,33']";"['0,0' '0,0' '-7,51' '-0,4']";"['0,0' '0,0' '-3,74' '-0,34']";"['0,0' '0,0' '-3,71' '-0,29']";"['0,0' '0,0' '-3,68' '-0,24']";"['0,0' '0,0' '-3,66' '3,75']";"['0,04' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['3,94' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']"
24;"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['-7,57' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['3,89' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']"
25;"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['3,84' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']"
26;"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['3,79' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']"
27;"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['3,74' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']"
28;"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '-1,4']";"['0,0' '0,0' '-4,28' '-1,34']";"['0,0' '0,0' '-4,25' '-1,28']";"['0,0' '0,0' '-4,21' '-1,2']";"['0,0' '0,0' '-4,18' '-1,14']";"['0,0' '0,0' '-4,14' '-1,08']";"['0,0' '0,0' '-4,11' '3,32']";"['0,0' '0,0' '0,0' '-0,97']";"['0,0' '0,0' '-4,05' '-4,85']";"['0,0' '0,0' '-7,97' '-0,87']";"['0,0' '0,0' '-3,99' '-0,81']";"['0,0' '0,0' '-3,96' '-0,76']";"['0,0' '0,0' '-3,93' '-0,71']";"['0,0' '0,0' '-3,91' '-0,67']";"['0,0' '0,0' '-3,88' '-0,49']";"['0,0' '0,0' '-3,86' '-0,59']";"['0,0' '0,0' '-3,84' '-0,56']";"['0,0' '0,0' '-3,82' '-4,42']";"['0,0' '0,0' '-7,55' '-4,38']";"['0,0' '0,0' '-7,51' '-0,47']";"['0,0' '0,0' '-3,76' '-0,44']";"['0,0' '0,0' '-3,75' '-4,27']";"['0,0' '0,0' '-7,44' '-0,41']";"['0,0' '0,0' '-3,73' '3,64']";"['3,69' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']"
29;"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']";"['0,0' '0,0' '0,0' '0,0']"
